gene_id,baseMean,log2FC,lfcSE,stat,p_value,p_adj
KRTDAP,149.02018501645946,3.8437772749059933,0.7692238202623405,4.996955598170491,5.824247211814251e-07,9.190020898714981e-05
IL32,463.02843619842974,-2.2757054658773437,0.7612545379124711,-2.9894146471925582,0.0027951252843238256,0.04986863046170693
ADRA2A,35.101971553487466,-3.427908843365676,0.8099567992057762,-4.2322119484977465,2.314041827489961e-05,0.001631114975040977
SERPINE2,291.8914252143332,3.1090552622364136,0.6078541830418801,5.114804420161743,3.1406620011061645e-07,6.001805084113881e-05
CNNM1,144.6311516623784,2.1399909581982186,0.601749120232248,3.556284315583675,0.0003761370099280625,0.012385503892807096
PLAAT2,942.6690256193066,-3.200006873506353,0.6438023673382345,-4.970480128454025,6.678730668380684e-07,0.00010076095505743805
INA,67.50649781465962,2.963279802046991,0.5475367127046449,5.4120202961540205,6.231762365216054e-08,1.6104977494934364e-05
SPINK5,2307.7117156055197,2.6694708092824224,0.672370004766637,3.9702407757004714,7.180003638736129e-05,0.0038049544983025005
ISG15,6234.227662669091,-4.462281213638283,0.6804571042894768,-6.5577700423860374,5.46183458481863e-11,4.944110159173454e-08
CNTN1,102.42040904912851,4.116596622916275,0.7145349437539195,5.761225058202332,8.350560360130608e-09,2.9310466864058433e-06
HS6ST2,171.19935455455493,2.834859077584138,0.6993026200173069,4.0538373465753335,5.0384254940933426e-05,0.0029275635159767364
ERG,17.067526313827273,2.252731001441839,0.6121367531703737,3.680110677515298,0.00023313274530841732,0.008970134421833266
LINC01001,7.711237162101014,3.0352560284722965,0.923145728611312,3.2879489493367764,0.0010092013780328025,0.024831551503270627
IL36RN,216.0381940372695,4.334444153119831,0.7122170358930593,6.085847339617213,1.1587681508101731e-09,5.694186693081191e-07
AKR1B15,59.40035902029765,2.064571894215334,0.5061385068597011,4.079065050839183,4.521718411316516e-05,0.002690970067689715
BTN3A3,1298.7356837749476,-2.401639802143081,0.446798176982342,-5.375222921372835,7.648799038218609e-08,1.8430073524549284e-05
CCDC177,4.709155411581665,4.226097530895211,1.2430837574696767,3.39968848076458,0.0006746266580025817,0.01868422526728889
FLT1,437.3134332245091,-3.6372343762461004,0.8390501754822572,-4.334942632191862,1.4579813978920539e-05,0.0011772686414246683
SBSN,836.6493850522141,5.609900442494045,0.918960413939048,6.104615995859571,1.0304813028108035e-09,5.538514977200941e-07
C1QA,1083.6737511834888,-2.331234623212327,0.5471007597902603,-4.261069979332587,2.0345051060052148e-05,0.0014826886999230377
GJB6,257.15051328772665,4.45383407022089,0.7497891290071598,5.940115557714841,2.8482123516643473e-09,1.1663429580065502e-06
OTOF,37.869023404351935,-3.933360675915782,1.115677403865243,-3.525535842429657,0.00042262698242303876,0.013485642802771508
SPRR1A,10483.596836081928,4.3284419928601965,0.5159815435586903,8.388753525963779,4.9132355606128645e-17,3.5007770274944344e-13
ATP10A,209.88059246466267,-2.018569641599602,0.4692587286990907,-4.301613413128427,1.6955894952717697e-05,0.0013207918501762287
CALB2,6.799991958780681,4.187557711462466,1.1225420563637156,3.7304238961231873,0.00019115787989573577,0.007809321558970925
ROR1,16.095055557258235,2.139127499963553,0.6934046283520688,3.0849628232902906,0.0020357759782741887,0.0397245658253485
PPP2R2C,134.73335815399216,2.161177717704024,0.6999061025107377,3.0878109362832253,0.002016367082823794,0.03945335319395499
C1QC,1338.5290217450067,-2.0211667766197365,0.5629211069792955,-3.5904974099577966,0.0003300475102626291,0.011444530502030157
FZD10,30.06490048176083,3.7615077196816826,0.8771752845081421,4.288205317812699,1.8012256002712752e-05,0.0013528069475574524
CALML3-AS1,46.945291650604304,3.022548855227152,0.5388309271026037,5.609456887487829,2.0296254897432596e-08,6.121465837248016e-06
DIO2,121.82096894630885,2.6200772594647517,0.6797671510322949,3.854374627379244,0.0001160258202117849,0.005482220005006836
RAET1L,316.53445588747667,3.0948246320871444,0.5230279276912229,5.917130746246153,3.276062681003345e-09,1.3103488848971289e-06
SLC34A3,16.114650276027078,2.18718737892779,0.4972509690775305,4.3985583034364435,1.0897235331430587e-05,0.0009054181181897328
SIGLEC8,10.082140604418623,-2.667163266338264,0.8690890669761862,-3.0689182129722345,0.002148353972097857,0.04133058161757387
HERC5,495.3937508023557,-3.2804373521082923,0.7057124880048115,-4.648404850228365,3.3451186499256225e-06,0.00036063822253133807
TGM5,125.01205227889966,2.7858975494621365,0.7520425095509746,3.7044415895127054,0.00021185691666381559,0.008338048305951863
CMPK2,1553.2375127497266,-2.9842974520314787,0.7493172694358371,-3.982688740482872,6.813997211254859e-05,0.003648745504050576
ITGA6,2586.4330350363325,2.106849924284121,0.37428247018989547,5.629037136618214,1.812183818460704e-08,5.613933080302128e-06
SGCG,13.506884927000986,3.1963242215277,0.8913390603825453,3.585980199449466,0.00033581443995033835,0.01159773604961018
ETV4,171.83909327737626,2.0816001584333814,0.525368039320652,3.962175089914257,7.42700407403167e-05,0.003906331592332437
LINC02446,55.335477698871955,-3.5846198161983964,0.9597629890183916,-3.7349010716329105,0.00018778899263664748,0.007722825079582621
PROX1,13.514790176097565,-2.5096992838256624,0.7246608476088351,-3.46327429183862,0.0005336440972270439,0.01577000829588991
STATH,2486.7695883018528,2.3062457383347352,0.679018817779175,3.3964386228317367,0.000682688659891683,0.018844825402912012
C11orf91,34.561282203163685,2.2698232054602077,0.559123017982219,4.059613237980469,4.91540657591078e-05,0.0028952081403797775
KCNK7,31.194021967510267,3.172118595014689,0.6853889222129906,4.628202312889039,3.6885359002646666e-06,0.0003844795693857697
SH2D1A,57.374380960267814,-2.7310323817794195,0.8152469210596306,-3.349945042699107,0.0008082759543038447,0.02122372234820126
HAS3,945.9535080242113,2.2457595433640654,0.48621493171024194,4.618861735621105,3.858508483089947e-06,0.00039738016407583237
CLDN10,757.6621874566287,-2.3068184607594127,0.6153597886198722,-3.748731235645314,0.00017773142369025384,0.007510571882183479
PRSS3,410.66870534690474,4.799744139251876,0.693220510343488,6.923834577360704,4.3957919490685895e-12,6.300268811002556e-09
VGLL3,41.034385305791574,2.0410800779185334,0.6278683617922328,3.2508089308598493,0.0011507716773563055,0.026869538881096097
RELN,26.379860761836404,3.36765800985701,0.8124775409528588,4.144924431889504,3.399257918094965e-05,0.0021746444633343404
ADM2,200.59073137058087,-2.4268816712815897,0.4513190760493345,-5.377307984686876,7.560777762345742e-08,1.8430073524549284e-05
CALB1,87.18994912745342,4.176689250596195,0.9370537726600813,4.4572567471123135,8.30151542685973e-06,0.0007321936606490282
SAMD3,63.68919989031731,-2.963537613276247,0.6867297036370651,-4.3154353125847456,1.5928869321537476e-05,0.0012624913523554058
